generation,N_shifts,eventRate
2580001,2,0.372985
2590001,3,2.15018
2600001,0,0.748754
2610001,1,0.931993
2620001,1,2.05262
2630001,1,1.47447
2640001,1,0.37672
2650001,2,0.669764
2660001,0,0.584406
2670001,1,0.65536
2680001,2,0.835633
2690001,1,0.169191
2700001,2,4.15133
2710001,3,0.709727
2720001,2,3.12896
2730001,1,0.974003
2740001,1,1.06908
2750001,0,0.174904
2760001,0,0.117051
2770001,0,0.291555
2780001,0,0.0400229
2790001,0,0.250041
2800001,0,0.803769
2810001,0,0.337159
2820001,1,0.463485
2830001,2,2.70263
2840001,0,0.742878
2850001,1,1.10785
2860001,3,1.985
2870001,0,0.277287
2880001,0,0.177411
2890001,0,0.0119128
2900001,3,2.99231
2910001,1,0.482005
2920001,3,3.46141
2930001,2,0.620704
2940001,1,0.935046
2950001,2,4.58697
2960001,0,1.69129
2970001,3,2.21418
2980001,1,1.02172
2990001,1,0.994352
3000001,1,0.286318
3010001,1,0.677532
3020001,0,0.226977
3030001,0,0.941591
3040001,0,0.0905041
3050001,1,3.73108
3060001,3,0.937481
3070001,0,0.586157
3080001,0,0.327824
3090001,1,0.401259
3100001,1,0.295558
3110001,0,0.248686
3120001,1,0.206528
3130001,0,0.668962
3140001,1,1.59659
3150001,1,0.382918
3160001,1,0.245694
3170001,1,0.195263
3180001,1,2.54617
3190001,0,0.00117349
3200001,1,1.40756
3210001,2,0.847462
3220001,0,0.0721279
3230001,1,1.76701
3240001,2,0.541287
3250001,3,2.12383
3260001,1,1.34409
3270001,0,0.151919
3280001,0,0.0556407
3290001,0,0.273458
3300001,0,0.780277
3310001,0,0.391888
3320001,1,0.531037
3330001,0,0.23299
3340001,0,0.378183
3350001,1,0.240062
3360001,1,4.3424
3370001,1,0.0965267
3380001,2,0.785861
3390001,2,0.930484
3400001,1,1.69917
3410001,1,1.04269
3420001,0,0.0567817
3430001,0,2.8932
3440001,1,0.951279
3450001,1,0.150646
3460001,0,0.939479
3470001,0,0.274922
3480001,1,1.15484
3490001,1,0.834031
3500001,1,0.76267
3510001,2,1.06118
3520001,0,0.322272
3530001,0,0.440564
3540001,0,0.636015
3550001,3,0.665513
3560001,4,0.554652
3570001,1,1.97107
3580001,1,1.70148
3590001,0,1.8336
3600001,0,0.477926
3610001,3,0.793539
3620001,2,2.86108
3630001,1,0.124021
3640001,0,0.48593
3650001,0,1.71417
3660001,2,1.08348
3670001,4,3.32133
3680001,0,0.958936
3690001,0,0.224021
3700001,1,1.47028
3710001,0,0.415889
3720001,1,0.307275
3730001,1,0.481376
3740001,1,1.06806
3750001,1,0.27822
3760001,0,0.133972
3770001,1,0.361482
3780001,0,0.0161846
3790001,4,3.2585
3800001,2,0.225375
3810001,0,0.949354
3820001,2,0.594924
3830001,0,0.691692
3840001,0,0.0709386
3850001,1,1.00639
3860001,6,3.30292
3870001,0,0.262273
3880001,1,0.704224
3890001,2,1.86033
3900001,0,0.420866
3910001,0,0.33526
3920001,0,0.30767
3930001,3,1.212
3940001,2,0.464685
3950001,2,0.356845
3960001,0,1.09449
3970001,0,0.729053
3980001,1,1.64665
3990001,1,2.51974
4000001,0,0.176716
4010001,0,0.772645
4020001,1,1.12919
4030001,3,0.520442
4040001,1,0.708024
4050001,1,0.443433
4060001,1,0.301976
4070001,1,0.0825419
4080001,1,0.574685
4090001,1,1.70862
4100001,1,0.486468
4110001,0,1.16548
4120001,3,1.87471
4130001,3,1.32532
4140001,0,1.30877
4150001,2,3.04119
4160001,0,0.51939
4170001,0,0.137772
4180001,2,1.40543
4190001,2,1.77584
4200001,0,0.21176
4210001,1,0.829794
4220001,0,1.79228
4230001,1,0.995951
4240001,0,0.40472
4250001,2,0.753708
4260001,0,1.11374
4270001,3,2.66921
4280001,0,0.00865684
4290001,0,0.314274
4300001,0,0.283966
4310001,1,1.22964
4320001,0,0.498265
4330001,1,0.41141
4340001,2,1.40701
4350001,0,1.34577
4360001,0,0.876445
4370001,3,0.647438
4380001,0,0.0224084
4390001,0,0.859393
4400001,1,1.25347
4410001,0,0.80209
4420001,0,1.01294
4430001,2,2.38968
4440001,1,0.944487
4450001,0,0.301762
4460001,2,1.51978
4470001,2,3.09669
4480001,1,1.07762
4490001,0,0.142414
4500001,1,0.115202
4510001,2,1.35882
4520001,2,0.759357
4530001,0,0.434347
4540001,4,1.61627
4550001,1,2.06151
4560001,1,0.825463
4570001,1,0.205009
4580001,0,0.0648914
4590001,0,0.746735
4600001,1,0.0732122
4610001,0,0.853352
4620001,1,1.19643
4630001,0,0.570026
4640001,1,0.375048
4650001,2,2.73107
4660001,0,0.510137
4670001,3,1.40151
4680001,1,2.19945
4690001,1,0.642834
4700001,2,0.371458
4710001,1,0.333361
4720001,1,0.36835
4730001,0,0.278144
4740001,0,0.511381
4750001,0,0.106425
4760001,0,0.240823
4770001,0,0.132303
4780001,2,0.355224
4790001,0,0.244929
4800001,0,0.442495
4810001,1,0.336869
4820001,0,0.0532183
4830001,0,0.199368
4840001,1,0.263843
4850001,1,0.194857
4860001,1,1.23973
4870001,0,0.326783
4880001,0,0.564303
4890001,1,1.66991
4900001,1,0.864242
4910001,0,0.756676
4920001,2,4.54177
4930001,0,0.112816
4940001,0,0.861294
4950001,1,1.22765
4960001,1,2.15023
4970001,2,0.982044
4980001,0,0.543993
4990001,0,0.417423
5000001,0,0.132303
5010001,0,0.696911
5020001,0,0.118475
5030001,0,0.274557
5040001,1,0.418338
5050001,0,0.362115
5060001,3,10.5253
5070001,1,0.364438
5080001,1,2.76315
5090001,1,1.15734
5100001,1,0.655496
5110001,0,1.05557
5120001,0,0.547999
5130001,0,0.0051011
5140001,0,0.0866705
5150001,0,0.306547
5160001,0,0.503896
5170001,1,0.423854
5180001,1,0.497944
5190001,1,1.93265
5200001,0,2.24755
5210001,0,3.10553
5220001,1,4.64482
5230001,0,0.137297
5240001,0,0.343126
5250001,0,0.751275
5260001,1,1.24363
5270001,1,1.99369
5280001,2,2.47117
5290001,1,0.0584544
5300001,1,1.4531
5310001,0,0.278961
5320001,1,3.80635
5330001,0,0.174064
5340001,0,0.828045
5350001,0,0.0597485
5360001,2,1.74119
5370001,0,0.345378
5380001,0,0.689778
5390001,1,0.0593782
5400001,0,0.0125747
5410001,2,0.619311
5420001,0,1.76305
5430001,4,1.77916
5440001,1,0.747909
5450001,3,0.617384
5460001,0,0.459264
5470001,1,2.74442
5480001,2,1.51535
5490001,0,0.124232
5500001,0,0.759746
5510001,0,0.620133
5520001,1,1.64943
5530001,2,2.15365
5540001,0,0.0900142
5550001,0,0.289613
5560001,0,0.763666
5570001,1,0.95717
5580001,1,2.34214
5590001,0,0.00428204
5600001,1,0.556831
5610001,1,1.29886
5620001,1,1.41204
5630001,0,0.379353
5640001,1,0.299831
5650001,1,0.139104
5660001,0,0.662552
5670001,0,0.183555
5680001,0,1.26673
5690001,2,1.03224
5700001,4,0.377232
5710001,0,1.36491
5720001,2,0.244252
5730001,1,1.13081
5740001,1,0.574996
5750001,2,2.01632
5760001,0,0.0891856
5770001,2,1.42106
5780001,2,1.52956
5790001,0,0.28489
5800001,2,3.7798
5810001,0,0.0273527
5820001,0,0.22341
5830001,2,2.44935
5840001,1,0.351106
5850001,1,0.394764
5860001,3,1.06825
5870001,1,0.262295
5880001,2,0.92118
5890001,2,1.37895
5900001,1,0.83284
5910001,5,0.836749
5920001,2,1.95484
5930001,4,0.344411
5940001,0,0.854632
5950001,1,1.08268
5960001,0,0.000132087
5970001,1,2.40988
5980001,3,0.906297
5990001,3,0.0999186
6000001,0,0.487418
6010001,0,0.766569
6020001,1,1.06959
6030001,5,0.903723
6040001,2,0.293367
6050001,2,0.537321
6060001,1,1.78995
6070001,2,0.677669
6080001,1,1.81074
6090001,0,0.423943
6100001,3,1.55648
6110001,4,0.573636
6120001,0,0.224121
6130001,0,0.147252
6140001,1,6.13601
6150001,1,0.456478
6160001,3,1.30089
6170001,0,0.927477
6180001,0,0.627897
6190001,2,1.07461
6200001,1,1.32963
6210001,0,1.54366
6220001,4,0.222064
6230001,1,0.208556
6240001,1,1.54945
6250001,1,0.768419
6260001,1,1.43984
6270001,0,0.893007
6280001,0,0.302378
6290001,0,0.213199
6300001,1,0.878295
6310001,1,2.00216
6320001,1,1.60158
6330001,0,0.595196
6340001,0,0.208388
6350001,0,0.0409073
6360001,0,0.131361
6370001,1,0.464917
6380001,0,0.506778
6390001,3,0.764932
6400001,1,2.05817
6410001,0,0.104183
6420001,0,0.662762
6430001,0,0.101663
6440001,1,1.21616
6450001,0,0.497838
6460001,0,0.330954
6470001,0,0.757683
6480001,1,1.08884
6490001,3,2.72285
6500001,1,0.45833
6510001,1,0.592426
6520001,0,0.164946
6530001,0,0.78541
6540001,3,2.05474
6550001,1,0.347315
6560001,1,0.270885
6570001,0,0.00586518
6580001,1,0.679462
6590001,1,2.89233
6600001,0,0.152081
6610001,0,0.848452
6620001,1,0.147541
6630001,0,0.957589
6640001,2,0.422444
6650001,0,0.599881
6660001,0,0.618179
6670001,0,0.164448
6680001,2,0.933642
6690001,1,1.60354
6700001,3,0.655646
6710001,1,0.895181
6720001,2,3.78209
6730001,0,0.044411
6740001,0,1.01041
6750001,1,1.17261
6760001,0,0.18718
6770001,0,0.306508
6780001,0,0.359887
6790001,0,3.05449
6800001,2,2.01346
6810001,0,0.797734
6820001,1,0.423384
6830001,1,0.852235
6840001,1,0.167575
6850001,1,0.868631
6860001,1,1.89452
6870001,1,0.83413
6880001,1,0.41357
6890001,0,1.57085
6900001,2,0.229712
6910001,0,0.956939
6920001,0,0.0869183
6930001,0,0.00055861
6940001,0,0.125863
6950001,0,0.204324
6960001,0,0.140794
6970001,0,0.49785
6980001,1,0.821641
6990001,1,1.14279
7000001,0,0.8651
7010001,3,4.6602
7020001,2,3.74964
7030001,0,0.139761
7040001,3,4.598
7050001,2,0.673158
7060001,1,2.57522
7070001,1,0.488337
7080001,0,0.33138
7090001,2,1.5763
7100001,0,1.26708
7110001,2,1.37272
7120001,2,1.03721
7130001,1,0.399303
7140001,0,0.208074
7150001,1,0.889104
7160001,1,0.702144
7170001,0,0.0700799
7180001,0,0.34874
7190001,0,0.102427
7200001,1,0.453312
7210001,1,2.0838
7220001,0,0.405167
7230001,0,0.927581
7240001,1,0.29803
7250001,0,0.633866
7260001,2,0.426534
7270001,0,0.949012
7280001,2,2.35175
7290001,0,0.948654
7300001,0,0.715835
7310001,1,0.399272
7320001,0,0.740176
7330001,0,0.360357
7340001,1,1.69917
7350001,1,0.971732
7360001,0,0.272199
7370001,2,0.429046
7380001,0,2.11457
7390001,1,0.245494
7400001,1,0.321225
7410001,1,0.0932403
7420001,1,0.586939
7430001,0,0.0372084
7440001,1,0.428017
7450001,1,1.6999
7460001,0,4.09403
7470001,0,0.47906
7480001,0,0.0784236
7490001,0,0.102103
7500001,2,0.653958
7510001,1,1.17601
7520001,0,0.00261058
7530001,0,0.811888
7540001,3,1.68992
7550001,1,0.839929
7560001,1,1.62547
7570001,0,0.114124
7580001,0,1.68934
7590001,1,0.104058
7600001,0,0.643224
7610001,2,0.14113
7620001,2,0.651932
7630001,0,0.808512
7640001,1,0.433288
7650001,1,0.554959
7660001,0,0.0692231
7670001,0,1.04247
7680001,2,0.209584
7690001,1,2.20267
7700001,0,0.259972
7710001,1,1.95064
7720001,3,0.275921
7730001,1,0.325413
7740001,0,0.0345866
7750001,0,2.33006
7760001,1,1.53223
7770001,2,1.93571
7780001,0,1.31439
7790001,0,0.479747
7800001,0,0.429572
7810001,0,0.382357
7820001,4,3.34744
7830001,2,0.97168
7840001,1,2.89654
7850001,1,1.54153
7860001,1,0.106088
7870001,0,2.04145
7880001,0,0.471585
7890001,1,2.62408
7900001,2,2.07507
7910001,1,1.59314
7920001,1,0.707995
7930001,0,0.152791
7940001,1,0.864253
7950001,1,0.121061
7960001,0,1.11187
7970001,0,0.1486
7980001,1,5.20341
7990001,1,0.339558
8000001,0,1.23444
8010001,0,1.52158
8020001,0,0.0201765
8030001,0,0.501667
8040001,0,0.309113
8050001,0,0.00341045
8060001,0,0.277751
8070001,0,1.49259
8080001,1,1.34962
8090001,0,0.0243739
8100001,2,0.702221
8110001,1,1.33263
8120001,2,0.541324
8130001,1,1.77837
8140001,0,0.278013
8150001,1,0.98619
8160001,0,0.154358
8170001,0,2.04745
8180001,0,0.0441055
8190001,0,1.09065
8200001,0,0.109681
8210001,0,1.17813
8220001,1,3.17333
8230001,2,1.94972
8240001,4,0.33884
8250001,2,3.24666
8260001,2,0.921279
8270001,1,0.495701
8280001,0,1.2421
8290001,2,0.917602
8300001,2,0.222472
8310001,0,0.08568
8320001,0,0.406379
8330001,0,0.225656
8340001,2,0.910198
8350001,2,1.76768
8360001,0,0.621976
8370001,1,1.16744
8380001,0,4.28665
8390001,2,1.38822
8400001,1,0.7006
8410001,1,0.265693
8420001,0,0.0108816
8430001,0,0.0594539
8440001,2,0.556264
8450001,1,0.313508
8460001,1,2.42241
8470001,1,0.30826
8480001,0,1.16973
8490001,3,3.36737
8500001,1,2.02546
8510001,0,1.97197
8520001,0,0.872956
8530001,0,1.3951
8540001,1,1.41593
8550001,0,0.103511
8560001,0,0.318319
8570001,2,1.28034
8580001,0,1.65079
8590001,0,0.664836
8600001,1,0.392624
8610001,0,1.15461
8620001,0,1.63989
8630001,1,1.36088
8640001,1,0.109518
8650001,0,1.80358
8660001,2,0.494895
8670001,2,0.677676
8680001,0,0.134294
8690001,0,0.0425556
8700001,1,1.58395
8710001,0,0.292784
8720001,0,0.406783
8730001,0,0.0655976
8740001,1,0.758604
8750001,0,0.267726
8760001,0,0.0371271
8770001,1,2.61487
8780001,0,1.31887
8790001,2,0.379454
8800001,1,0.653266
8810001,2,0.291431
8820001,1,1.55704
8830001,1,4.84511
8840001,5,4.60493
8850001,0,0.852604
8860001,2,1.90104
8870001,0,0.178727
8880001,2,1.40895
8890001,0,0.911613
8900001,1,1.05055
8910001,0,0.64159
8920001,1,1.1063
8930001,3,1.38534
8940001,0,1.15196
8950001,1,1.89034
8960001,3,0.770268
8970001,2,0.827445
8980001,0,2.30201
8990001,3,2.2256
9000001,0,0.0188576
9010001,1,0.851212
9020001,2,2.09416
9030001,1,0.840027
9040001,1,0.771341
9050001,1,0.444314
9060001,0,0.178011
9070001,0,0.57008
9080001,2,1.97514
9090001,0,1.53723
9100001,0,0.372734
9110001,2,0.328773
9120001,0,0.257982
9130001,1,0.842
9140001,1,0.457436
9150001,2,0.483038
9160001,2,2.06806
9170001,2,1.64291
9180001,0,0.0228187
9190001,0,0.137859
9200001,0,1.16968
9210001,0,0.121038
9220001,0,0.42806
9230001,0,0.851752
9240001,1,2.27148
9250001,0,1.47448
9260001,1,1.70053
9270001,1,1.79978
9280001,2,0.151104
9290001,1,1.26371
9300001,1,1.806
9310001,0,0.0822239
9320001,0,1.66126
9330001,1,0.565824
9340001,3,0.670108
9350001,0,0.530848
9360001,1,0.341795
9370001,0,0.299361
9380001,2,1.75671
9390001,2,1.12652
9400001,1,0.302091
9410001,1,1.50115
9420001,0,1.33903
9430001,0,0.0663219
9440001,2,0.196372
9450001,0,0.022806
9460001,0,0.147495
9470001,4,2.11627
9480001,0,0.0921841
9490001,1,1.07252
9500001,0,0.0639211
9510001,2,5.7283
9520001,2,0.0329337
9530001,1,0.300825
9540001,1,2.70802
9550001,2,0.856652
9560001,0,1.24077
9570001,1,5.73001
9580001,1,0.944105
9590001,0,0.390008
9600001,3,0.756819
9610001,2,1.01163
9620001,0,0.362451
9630001,0,0.149311
9640001,0,0.992141
9650001,1,0.0939868
9660001,0,0.531957
9670001,1,1.24666
9680001,1,0.140645
9690001,1,1.61939
9700001,1,0.381313
9710001,1,2.5909
9720001,1,1.74087
9730001,0,0.759625
9740001,1,1.89373
9750001,1,0.649442
9760001,2,0.205145
9770001,1,1.07871
9780001,0,0.282666
9790001,0,1.50144
9800001,2,1.67509
9810001,0,0.0381925
9820001,0,0.326102
9830001,1,1.32216
9840001,1,0.820526
9850001,2,1.72742
9860001,0,0.4086
9870001,0,1.66212
9880001,1,3.10721
9890001,1,1.6094
9900001,2,2.3756
9910001,2,2.89685
9920001,2,1.14167
9930001,0,1.73389
9940001,3,0.25744
9950001,1,0.799743
9960001,2,1.25416
9970001,1,0.359415
9980001,0,1.18295
9990001,0,0.453299
10000001,0,0.0386056
10010001,1,3.32713
10020001,1,1.0084
10030001,0,0.363022
10040001,1,1.1208
10050001,0,0.306161
10060001,2,1.28488
10070001,5,0.860001
10080001,2,1.49179
10090001,0,0.688491
10100001,0,0.31817
10110001,0,0.591768
10120001,1,0.607296
10130001,1,0.205991
10140001,1,0.243615
10150001,1,0.331218
10160001,0,0.176719
10170001,1,0.370359
10180001,1,0.716288
10190001,0,0.466963
10200001,0,0.210257
10210001,2,0.718872
10220001,0,0.711437
10230001,3,1.02479
10240001,5,2.48906
10250001,0,0.211961
10260001,1,3.28128
10270001,1,0.977659
10280001,0,2.01579
10290001,0,1.56064
10300001,1,0.202682
10310001,0,0.0718651
10320001,0,0.475168
10330001,1,0.692751
10340001,2,0.885403
10350001,0,0.0287715
10360001,0,0.368887
10370001,1,0.294054
10380001,1,0.289663
10390001,0,0.543597
10400001,2,1.53134
10410001,0,0.374232
10420001,0,0.664026
10430001,6,0.54742
10440001,1,0.754537
10450001,2,0.950647
10460001,0,0.534351
10470001,2,0.210201
10480001,3,1.61899
10490001,1,0.913407
10500001,1,1.39809
10510001,1,0.0227342
10520001,1,2.12294
10530001,2,1.97718
10540001,2,1.51857
10550001,0,0.895049
10560001,2,1.80727
10570001,1,1.7307
10580001,0,0.0915847
10590001,1,1.21776
10600001,1,0.103435
10610001,0,1.33183
10620001,2,0.351503
10630001,0,0.423151
10640001,1,2.23581
10650001,2,0.94331
10660001,4,5.72578
10670001,0,0.751621
10680001,0,0.0122579
10690001,0,0.00648315
10700001,1,2.69268
10710001,0,0.050313
10720001,1,0.446767
10730001,0,1.0459
10740001,0,1.08018
10750001,0,0.410884
10760001,1,1.56885
10770001,2,0.994145
10780001,3,2.15975
10790001,2,0.473212
10800001,0,0.599218
10810001,2,0.428744
10820001,2,1.20391
10830001,0,0.208503
10840001,1,2.39365
10850001,1,0.367571
10860001,2,2.01186
10870001,4,0.917128
10880001,3,0.621757
10890001,4,1.3173
10900001,2,2.93379
10910001,0,0.666302
10920001,3,3.32758
10930001,1,1.90954
10940001,0,0.0391176
10950001,0,0.478135
10960001,0,0.101623
10970001,1,1.35909
10980001,0,0.676837
10990001,5,0.541814
11000001,0,1.14438
11010001,0,0.717591
11020001,1,1.18131
11030001,2,1.27088
11040001,0,0.687491
11050001,0,0.0247936
11060001,2,0.969987
11070001,1,0.579702
11080001,1,0.680425
11090001,1,2.33068
11100001,0,0.115245
11110001,2,0.540196
11120001,0,0.180886
11130001,0,0.543352
11140001,3,0.862804
11150001,1,1.42282
11160001,3,1.97079
11170001,0,0.263454
11180001,2,1.88166
11190001,0,0.794065
11200001,0,0.0570346
11210001,2,2.26091
11220001,2,1.33151
11230001,0,0.0430606
11240001,2,1.28761
11250001,1,0.483161
11260001,0,0.246811
11270001,1,0.843189
11280001,0,0.0145598
11290001,1,1.15015
11300001,1,1.13994
11310001,2,0.271334
11320001,0,0.502258
11330001,2,0.803278
11340001,0,1.07621
11350001,0,0.297559
11360001,1,2.13646
11370001,1,0.459664
11380001,0,0.0497463
11390001,2,0.856967
11400001,0,0.605382
11410001,0,0.0786767
11420001,0,0.0111579
11430001,0,0.367354
11440001,0,1.01066
11450001,0,0.70689
11460001,1,0.432638
11470001,0,0.552986
11480001,1,1.87976
11490001,1,1.29646
11500001,0,0.411974
11510001,0,0.756652
11520001,0,0.571527
11530001,1,0.139206
11540001,0,0.232517
11550001,0,1.34443
11560001,1,0.192974
11570001,1,1.04868
11580001,0,0.646716
11590001,3,0.131843
11600001,2,2.0875
11610001,3,1.66009
11620001,3,1.87169
11630001,0,1.26574
11640001,0,0.0889915
11650001,0,0.567085
11660001,3,1.26577
11670001,0,0.0537822
11680001,2,7.36148
11690001,0,1.29034
11700001,4,2.38248
11710001,1,0.680481
11720001,0,0.5035
11730001,1,0.221933
11740001,0,1.79039
11750001,0,0.140284
11760001,4,0.444183
11770001,2,0.422967
11780001,0,0.0149667
11790001,0,0.309563
11800001,1,0.446265
11810001,0,0.861452
11820001,0,0.673512
11830001,0,0.955706
11840001,0,1.69333
11850001,2,0.728919
11860001,0,0.0596027
11870001,0,0.19619
11880001,0,0.286164
11890001,2,1.15534
11900001,4,3.85344
11910001,2,0.404686
11920001,1,1.88404
11930001,4,0.520726
11940001,3,0.199449
11950001,1,1.25866
11960001,1,0.425975
11970001,0,1.63845
11980001,0,0.265535
11990001,1,0.724105
12000001,0,0.633057
12010001,1,0.320166
12020001,0,0.438772
12030001,0,0.067074
12040001,0,1.40247
12050001,1,0.418268
12060001,1,3.0129
12070001,0,0.181427
12080001,1,0.230316
12090001,1,2.42271
12100001,2,3.51307
12110001,0,0.18076
12120001,2,0.395583
12130001,2,0.384681
12140001,1,0.383868
12150001,0,0.0800311
12160001,1,1.88416
12170001,0,0.949396
12180001,0,0.30051
12190001,1,1.54056
12200001,1,0.713336
12210001,0,0.228356
12220001,1,0.713023
12230001,0,1.82415
12240001,2,0.93759
12250001,3,1.19208
12260001,1,0.483259
12270001,3,1.09345
12280001,0,0.160152
12290001,1,5.5353
12300001,4,1.57953
12310001,2,3.24583
12320001,0,0.133742
12330001,1,1.22061
12340001,1,0.526685
12350001,1,0.1274
12360001,1,0.831272
12370001,2,2.17123
12380001,2,0.491823
12390001,0,0.509532
12400001,0,0.155255
12410001,2,0.346689
12420001,1,0.489882
12430001,2,0.507143
12440001,0,3.35796
12450001,2,0.216168
12460001,0,0.238463
12470001,1,0.197865
12480001,0,1.02908
12490001,0,0.58426
12500001,0,0.341711
12510001,5,2.39726
12520001,3,2.17345
12530001,0,0.0972291
12540001,1,2.07278
12550001,0,1.80281
12560001,0,0.12311
12570001,0,0.353251
12580001,2,0.46647
12590001,1,2.38827
12600001,2,0.969539
12610001,0,0.332119
12620001,3,5.02253
12630001,0,0.568374
12640001,1,1.75152
12650001,0,0.0551992
12660001,0,0.176175
12670001,1,1.21927
12680001,0,0.0557858
